id,ndvi_mean,parcel_id,source_id,observation_date
1,0.656434644761493,1,1,2023-01-04
2,0.6232242124768376,2,1,2023-01-24
3,0.6219753462182316,3,1,2023-01-29
4,0.5254293262879789,4,1,2023-02-03
5,0.4251040221914008,5,1,2023-02-23
6,0.3942178824430404,6,1,2023-03-15
7,0.3692569483834373,7,1,2023-03-20
8,0.3460656990068755,8,1,2023-03-25
9,0.2686517229842757,9,1,2023-04-09
10,0.2433814131823991,10,1,2023-04-14
11,0.2275862068965517,11,1,2023-04-19
12,0.2098950524737631,12,1,2023-04-24
13,0.1870089051859612,13,1,2023-05-04
14,0.172342974499401,14,1,2023-05-14
15,0.1609403254972875,15,1,2023-05-19
16,0.1363379219309824,16,1,2023-06-23
17,0.1464878220967172,17,1,2023-06-28
18,0.1343600637280934,18,1,2023-07-03
19,0.1314209472981988,19,1,2023-07-13
20,0.1234223897721685,20,1,2023-07-23
21,0.1364449503984387,21,1,2023-07-28
22,0.13234831813895,22,1,2023-08-07
23,0.1376557010539763,23,1,2023-08-12
24,0.1526015228426396,24,1,2023-08-17
25,0.1229392369288742,25,1,2023-08-22
26,0.1391941391941392,26,1,2023-08-27
27,0.1329762815608263,27,1,2023-09-01
28,0.1770850884582982,28,1,2023-09-26
29,0.1783595113438045,29,1,2023-10-01
30,0.1658735554044867,30,1,2023-10-06
31,0.160437408193243,1,1,2023-10-11
32,0.6447500358114884,2,1,2023-11-25
33,0.4048604860486048,3,1,2023-12-30
